Division Office Name	Sub Division	Office ID	Sub Office	Branch Office	office-type-code	PIN
Karad Division	SDIP Vaduj	24661431	Aundh S.O	Aundh S.O	SPO	415510
Karad Division	SDIP Vaduj	24107131	Aundh S.O	Gopuj B.O	BPO	415510
Karad Division	SDIP Vaduj	24107143	Aundh S.O	Jaigaon B.O	BPO	415510
Karad Division	SDIP Vaduj	24107209	Aundh S.O	Nandoshi B.O	BPO	415510
Karad Division	SDIP Vaduj	24107285	Aundh S.O	Trimali B.O	BPO	415510
Karad Division	ASP Karad West	24661432	Bahule S.O	Bahule S.O	SPO	415209
Karad Division	ASP Karad West	24107125	Bahule S.O	Garwade B.O	BPO	415209
Karad Division	ASP Karad West	24107215	Bahule S.O	Navadi B.O	BPO	415209
Karad Division	ASP Karad West	24107253	Bahule S.O	Sajur B.O	BPO	415209
Karad Division	ASP Karad West	24107271	Bahule S.O	Sonaichi Wadi B.O	BPO	415209
Karad Division	ASP Karad West	24661433	Chaphal S.O	Chaphal S.O	SPO	415520
Karad Division	ASP Karad West	24107104	Chaphal S.O	Chavanwadi B.O	BPO	415520
Karad Division	ASP Karad West	24107111	Chaphal S.O	Dadholi B.O	BPO	415520
Karad Division	ASP Karad West	24107112	Chaphal S.O	Dervan B.O	BPO	415520
Karad Division	ASP Karad West	24107144	Chaphal S.O	Jalagewadi B.O	BPO	415520
Karad Division	ASP Karad West	24107162	Chaphal S.O	Keloli B.O	BPO	415520
Karad Division	ASP Karad West	24107183	Chaphal S.O	Majgaon B.O	BPO	415520
Karad Division	ASP Karad West	24107210	Chaphal S.O	Nanegaon BK B.O	BPO	415520
Karad Division	ASP Karad West	24107211	Chaphal S.O	Nanegaon KH B.O	BPO	415520
Karad Division	ASP Karad West	24107225	Chaphal S.O	Padloshi B.O	BPO	415520
Karad Division	SDIP Vaduj	24107082	Dahivadi S.O	Andhali B.O	BPO	415508
Karad Division	SDIP Vaduj	24107097	Dahivadi S.O	Bidal B.O	BPO	415508
Karad Division	SDIP Vaduj	24107098	Dahivadi S.O	Bijawadi B.O	BPO	415508
Karad Division	SDIP Vaduj	24661434	Dahivadi S.O	Dahivadi S.O	SPO	415508
Karad Division	SDIP Vaduj	24107184	Dahivadi S.O	Malawadi B.O	BPO	415508
Karad Division	SDIP Vaduj	24107193	Dahivadi S.O	Mardi B.O	BPO	415508
Karad Division	SDIP Vaduj	24107200	Dahivadi S.O	Mohi B.O	BPO	415508
Karad Division	SDIP Vaduj	24107231	Dahivadi S.O	Pangari B.O	BPO	415508
Karad Division	SDIP Vaduj	24107245	Dahivadi S.O	Ranand B.O	BPO	415508
Karad Division	SDIP Vaduj	24107267	Dahivadi S.O	Shingnapur B.O	BPO	415508
Karad Division	SDIP Vaduj	24107283	Dahivadi S.O	Tondale B.O	BPO	415508
Karad Division	SDIP Vaduj	24107305	Dahivadi S.O	Vavarhire B.O	BPO	415508
Karad Division	ASP Karad West	24107081	Daulat Nagar S.O (Satara)	Ambrule B.O	BPO	415211
Karad Division	ASP Karad West	24107094	Daulat Nagar S.O (Satara)	Belawade KH B.O	BPO	415211
Karad Division	ASP Karad West	24107108	Daulat Nagar S.O (Satara)	Chopadi B.O	BPO	415211
Karad Division	ASP Karad West	24661435	Daulat Nagar S.O (Satara)	Daulat Nagar S.O  satara	SPO	415211
Karad Division	ASP Karad West	24107191	Daulat Nagar S.O (Satara)	Marali B.O	BPO	415211
Karad Division	ASP Karad West	24107258	Daulat Nagar S.O (Satara)	Sangvad B.O	BPO	415211
Karad Division	ASP Karad West	24107272	Daulat Nagar S.O (Satara)	Sonawade B.O	BPO	415211
Karad Division	SDIP Karad East	24107078	Dhebewadi S.O	Ambavade KHD B.O	BPO	415112
Karad Division	SDIP Karad East	24107090	Dhebewadi S.O	Banpuri B.O	BPO	415112
Karad Division	SDIP Karad East	24107114	Dhebewadi S.O	Dhamni B.O	BPO	415112
Karad Division	SDIP Karad East	24661436	Dhebewadi S.O	Dhebewadi S.O	SPO	415112
Karad Division	SDIP Karad East	24107135	Dhebewadi S.O	Gudhe B.O	BPO	415112
Karad Division	SDIP Karad East	24107146	Dhebewadi S.O	Janugadewadi B.O	BPO	415112
Karad Division	SDIP Karad East	24107148	Dhebewadi S.O	Jinti. B.O	BPO	415112
Karad Division	SDIP Karad East	24107154	Dhebewadi S.O	Kalgaon B.O	BPO	415112
Karad Division	SDIP Karad East	24107180	Dhebewadi S.O	Kuthare B.O	BPO	415112
Karad Division	SDIP Karad East	24107182	Dhebewadi S.O	Mahind B.O	BPO	415112
Karad Division	SDIP Karad East	24107185	Dhebewadi S.O	Maldan B.O	BPO	415112
Karad Division	SDIP Karad East	24107189	Dhebewadi S.O	Mandrulkole B.O	BPO	415112
Karad Division	SDIP Karad East	24107195	Dhebewadi S.O	Mendh B.O	BPO	415112
Karad Division	SDIP Karad East	24107230	Dhebewadi S.O	Paneri B.O	BPO	415112
Karad Division	SDIP Karad East	24107255	Dhebewadi S.O	Salave B.O	BPO	415112
Karad Division	SDIP Karad East	24107257	Dhebewadi S.O	Sanbur B.O	BPO	415112
Karad Division	SDIP Karad East	24107262	Dhebewadi S.O	Shantinagar B.O	BPO	415112
Karad Division	SDIP Karad East	24107287	Dhebewadi S.O	Umarkanchan B.O	BPO	415112
Karad Division	SDIP Karad East	24107298	Dhebewadi S.O	Vanzole B.O	BPO	415112
Karad Division	SDIP Vaduj	24661437	Gondavale BK S.O	Gondavale BK S.O	SPO	415540
Karad Division	SDIP Vaduj	24107130	Gondavale BK S.O	Gondavale KHD B.O	BPO	415540
Karad Division	SDIP Vaduj	24107212	Gondavale BK S.O	Naravane B.O	BPO	415540
Karad Division	SDIP Vaduj	24107229	Gondavale BK S.O	Palshi Man B.O	BPO	415540
Karad Division	SDIP Vaduj	24107239	Gondavale BK S.O	Pimpri Man B.O	BPO	415540
Karad Division	SDIP Vaduj	24107309	Gondavale BK S.O	Virali B.O	BPO	415540
Karad Division	SDIP Karad East	24107092	Kale S.O (Satara)	Belawade BK B.O	BPO	415104
Karad Division	SDIP Karad East	24107116	Kale S.O (Satara)	Dhondewadi B.O	BPO	415104
Karad Division	SDIP Karad East	24107153	Kale S.O (Satara)	Kalawade B.O	BPO	415104
Karad Division	SDIP Karad East	24661438	Kale S.O (Satara)	Kale S.O Satara	SPO	415104
Karad Division	SDIP Karad East	24107159	Kale S.O (Satara)	Kasarshirambe B.O	BPO	415104
Karad Division	SDIP Karad East	24107213	Kale S.O (Satara)	Narayanwadi B.O	BPO	415104
Karad Division	SDIP Karad East	24107303	Kale S.O (Satara)	Vathar KH B.O	BPO	415104
Karad Division	SDIP Vaduj	24661439	Kaledhon S.O	Kaledhon S.O	SPO	415312
Karad Division	SDIP Vaduj	24107221	Kaledhon S.O	Pachvad B.O	BPO	415312
Karad Division	SDIP Vaduj	24107308	Kaledhon S.O	Vikhale B.O	BPO	415312
Karad Division	ASP Karad West	24360039	Karad H.O	Karad H.O	HPO	415110
Karad Division	SDIP Karad East	24661440	Karadcity S.O	Karadcity S.O	SPO	415110
Karad Division	SDIP Vaduj	24107091	Katarkhatav S.O	Banpuri B.O	BPO	415507
Karad Division	SDIP Vaduj	24107099	Katarkhatav S.O	Bombale B.O	BPO	415507
Karad Division	SDIP Vaduj	24107115	Katarkhatav S.O	Dhondewadi K. Khatav B.O	BPO	415507
Karad Division	SDIP Vaduj	24661441	Katarkhatav S.O	Katarkhatav S.O	SPO	415507
Karad Division	SDIP Vaduj	24107222	Katarkhatav S.O	Padal B.O	BPO	415507
Karad Division	SDIP Vaduj	24107227	Katarkhatav S.O	Palasgaon B.O	BPO	415507
Karad Division	SDIP Vaduj	24107238	Katarkhatav S.O	Pimpari K.Khatav B.O	BPO	415507
Karad Division	SDIP Vaduj	24107316	Katarkhatav S.O	Yenkul B.O	BPO	415507
Karad Division	SDIP Karad East	24107105	Kole S.O (Satara)	Chikhalewadi B.O	BPO	415103
Karad Division	SDIP Karad East	24107123	Kole S.O (Satara)	Galmewadi B.O	BPO	415103
Karad Division	SDIP Karad East	24107150	Kole S.O (Satara)	Kadhane B.O	BPO	415103
Karad Division	SDIP Karad East	24107164	Kole S.O (Satara)	Khale B.O	BPO	415103
Karad Division	SDIP Karad East	24661442	Kole S.O (Satara)	Kole S.O Satara	SPO	415103
Karad Division	SDIP Karad East	24107170	Kole S.O (Satara)	Kolewadi B.O	BPO	415103
Karad Division	SDIP Karad East	24107177	Kole S.O (Satara)	Kumbhargaon B.O	BPO	415103
Karad Division	SDIP Karad East	24107160	Kole S.O (Satara)	Kusur B.O	BPO	415103
Karad Division	SDIP Karad East	24107190	Kole S.O (Satara)	Mane Wadi B.O	BPO	415103
Karad Division	SDIP Karad East	24107252	Kole S.O (Satara)	Saikade B.O	BPO	415103
Karad Division	SDIP Karad East	24107276	Kole S.O (Satara)	Talmavale B.O	BPO	415103
Karad Division	SDIP Karad East	24107279	Kole S.O (Satara)	Tarukh B.O	BPO	415103
Karad Division	SDIP Karad East	24107315	Kole S.O (Satara)	Yenke B.O	BPO	415103
Karad Division	ASP Karad West	24107101	Koyna S.O	Bopoli B.O	BPO	415207
Karad Division	ASP Karad West	24107128	Koyna S.O	Ghosatawadi B.O	BPO	415207
Karad Division	ASP Karad West	24107134	Koyna S.O	Govare B.O	BPO	415207
Karad Division	ASP Karad West	24107139	Koyna S.O	Helwak B.O	BPO	415207
Karad Division	ASP Karad West	24661443	Koyna S.O	Koyna S.O	SPO	415207
Karad Division	ASP Karad West	24107178	Koyna S.O	Kusawade B.O	BPO	415207
Karad Division	ASP Karad West	24107216	Koyna S.O	Navaja B.O	BPO	415207
Karad Division	ASP Karad West	24107246	Koyna S.O	Rasati B.O	BPO	415207
Karad Division	ASP Karad West	24107075	Malharpeth Karad S.O	Adul B.O	BPO	415205
Karad Division	ASP Karad West	24661444	Malharpeth Karad S.O	Malharpeth Karad S.O	SPO	415205
Karad Division	ASP Karad West	24107188	Malharpeth Karad S.O	Mandrul Haveli B.O	BPO	415205
Karad Division	ASP Karad West	24107205	Malharpeth Karad S.O	Nade B.O	BPO	415205
Karad Division	ASP Karad West	24107206	Malharpeth Karad S.O	Nadoli B.O	BPO	415205
Karad Division	ASP Karad West	24107219	Malharpeth Karad S.O	Nisare B.O	BPO	415205
Karad Division	ASP Karad West	24107282	Malharpeth Karad S.O	Thomase B.O	BPO	415205
Karad Division	ASP Karad West	24107289	Malharpeth Karad S.O	Urul B.O	BPO	415205
Karad Division	SDIP Karad East	24107076	Malkapur Karad S.O	Agashivnagar B.O	BPO	415539
Karad Division	SDIP Karad East	24107085	Malkapur Karad S.O	Atake B.O	BPO	415539
Karad Division	SDIP Karad East	24107156	Malkapur Karad S.O	Kapil Goleshwar B.O	BPO	415539
Karad Division	SDIP Karad East	24661445	Malkapur Karad S.O	Malkapur Karad S.O	SPO	415539
Karad Division	SDIP Karad East	24107203	Malkapur Karad S.O	Mundhe B.O	BPO	415539
Karad Division	SDIP Karad East	24107207	Malkapur Karad S.O	Nandalapur B.O	BPO	415539
Karad Division	SDIP Karad East	24107301	Malkapur Karad S.O	Varunji B.O	BPO	415539
Karad Division	SDIP Karad East	24661446	Mangalwar Peth Karad S.O	Mangalwar Peth Karad S.O	SPO	415110
Karad Division	ASP Karad West	24661447	Market Yard Karad S.O	Market Yard Karad S.O	SPO	415110
Karad Division	ASP Karad West	24107120	Marul Haveli S.O	Divashi BK B.O	BPO	415212
Karad Division	ASP Karad West	24107174	Marul Haveli S.O	Koriwale B.O	BPO	415212
Karad Division	ASP Karad West	24661448	Marul Haveli S.O	Marul Haveli S.O	SPO	415212
Karad Division	ASP Karad West	24107232	Marul Haveli S.O	Paparde B.O	BPO	415212
Karad Division	SDIP Vaduj	24107083	Masur S.O (Satara)	Antavadi B.O	BPO	415106
Karad Division	SDIP Vaduj	24107106	Masur S.O (Satara)	Chikhali Masur B.O	BPO	415106
Karad Division	SDIP Vaduj	24107138	Masur S.O (Satara)	Helgaon B.O	BPO	415106
Karad Division	SDIP Vaduj	24107161	Masur S.O (Satara)	Kavathe. B.O	BPO	415106
Karad Division	SDIP Vaduj	24107167	Masur S.O (Satara)	Kival B.O	BPO	415106
Karad Division	SDIP Vaduj	24107171	Masur S.O (Satara)	Konegaon B.O	BPO	415106
Karad Division	SDIP Vaduj	24661449	Masur S.O (Satara)	Masur S.O Satara	SPO	415106
Karad Division	SDIP Vaduj	24107217	Masur S.O (Satara)	Nigadi Masur B.O	BPO	415106
Karad Division	SDIP Vaduj	24107223	Masur S.O (Satara)	Padali Masur B.O	BPO	415106
Karad Division	SDIP Vaduj	24107249	Masur S.O (Satara)	Riswad B.O	BPO	415106
Karad Division	SDIP Vaduj	24107261	Masur S.O (Satara)	Shamgaon B.O	BPO	415106
Karad Division	SDIP Vaduj	24107294	Masur S.O (Satara)	Vadoli Bhikeshwar B.O	BPO	415106
Karad Division	SDIP Vaduj	24661450	Mayani S.O	Mayani S.O	SPO	415102
Karad Division	SDIP Vaduj	24107201	Mayani S.O	Morale B.O	BPO	415102
Karad Division	SDIP Vaduj	24107107	Mhasurne S.O	Chitali B.O	BPO	415538
Karad Division	SDIP Vaduj	24107109	Mhasurne S.O	Chorade B.O	BPO	415538
Karad Division	SDIP Vaduj	24107140	Mhasurne S.O	Holichagaon B.O	BPO	415538
Karad Division	SDIP Vaduj	24661451	Mhasurne S.O	Mhasurne S.O	SPO	415538
Karad Division	SDIP Vaduj	24107218	Mhasurne S.O	Nimsod B.O	BPO	415538
Karad Division	SDIP Vaduj	24107113	Mhasvad S.O	Devapur B.O	BPO	415509
Karad Division	SDIP Vaduj	24107118	Mhasvad S.O	Dhuldev B.O	BPO	415509
Karad Division	SDIP Vaduj	24107119	Mhasvad S.O	Divad B.O	BPO	415509
Karad Division	SDIP Vaduj	24111907	Mhasvad S.O	Hingani BO	BPO	415509
Karad Division	SDIP Vaduj	24107142	Mhasvad S.O	Injabav B.O	BPO	415509
Karad Division	SDIP Vaduj	24111908	Mhasvad S.O	Karkhel BO	BPO	415509
Karad Division	SDIP Vaduj	24107176	Mhasvad S.O	Kukudwad B.O	BPO	415509
Karad Division	SDIP Vaduj	24661452	Mhasvad S.O	Mhasvad S.O	SPO	415509
Karad Division	SDIP Vaduj	24107234	Mhasvad S.O	Paryanti B.O	BPO	415509
Karad Division	SDIP Vaduj	24107235	Mhasvad S.O	Patole Khadaki B.O	BPO	415509
Karad Division	SDIP Vaduj	24107242	Mhasvad S.O	Pulkoti B.O	BPO	415509
Karad Division	SDIP Vaduj	24107293	Mhasvad S.O	Vadjal B.O	BPO	415509
Karad Division	SDIP Vaduj	24107299	Mhasvad S.O	Varkute Malawadi B.O	BPO	415509
Karad Division	SDIP Vaduj	24107300	Mhasvad S.O	Varkute Mhasvad B.O	BPO	415509
Karad Division	SDIP Vaduj	24107133	Ogalewadi S.O	Govare B.O	BPO	415105
Karad Division	SDIP Vaduj	24107137	Ogalewadi S.O	Hajarmachi B.O	BPO	415105
Karad Division	SDIP Vaduj	24107157	Ogalewadi S.O	Karavadi B.O	BPO	415105
Karad Division	SDIP Vaduj	24661453	Ogalewadi S.O	Ogalewadi S.O	SPO	415105
Karad Division	SDIP Vaduj	24107273	Ogalewadi S.O	Surli B.O	BPO	415105
Karad Division	SDIP Vaduj	24107281	Ogalewadi S.O	Tembu B.O	BPO	415105
Karad Division	SDIP Vaduj	24107310	Ogalewadi S.O	Viravade B.O	BPO	415105
Karad Division	SDIP Vaduj	24107311	Ogalewadi S.O	Wagheri B.O	BPO	415105
Karad Division	SDIP Karad East	24107127	Ond S.O	Ghogaon B.O	BPO	415111
Karad Division	SDIP Karad East	24107147	Ond S.O	Jinti Ond B.O	BPO	415111
Karad Division	SDIP Karad East	24107197	Ond S.O	Mhasoli B.O	BPO	415111
Karad Division	SDIP Karad East	24107208	Ond S.O	Nandgaon Ond B.O	BPO	415111
Karad Division	SDIP Karad East	24661454	Ond S.O	Ond S.O	SPO	415111
Karad Division	SDIP Karad East	24107256	Ond S.O	Salshirambe B.O	BPO	415111
Karad Division	SDIP Karad East	24107259	Ond S.O	Savade B.O	BPO	415111
Karad Division	SDIP Karad East	24107286	Ond S.O	Tulsan B.O	BPO	415111
Karad Division	SDIP Karad East	24107288	Ond S.O	Undale B.O	BPO	415111
Karad Division	SDIP Karad East	24107313	Ond S.O	Yelgaon B.O	BPO	415111
Karad Division	SDIP Karad East	24107317	Ond S.O	Yenpe B.O	BPO	415111
Karad Division	SDIP Karad East	24107318	Ond S.O	Yeoti B.O	BPO	415111
Karad Division	ASP Karad West	24107080	Patan S.O (Satara)	Ambrag B.O	BPO	415206
Karad Division	ASP Karad West	24107086	Patan S.O (Satara)	Atoli B.O	BPO	415206
Karad Division	ASP Karad West	24107096	Patan S.O (Satara)	Bibi Patan B.O	BPO	415206
Karad Division	ASP Karad West	24107100	Patan S.O (Satara)	Bondri B.O	BPO	415206
Karad Division	ASP Karad West	24107121	Patan S.O (Satara)	Divashi Khrud B.O	BPO	415206
Karad Division	ASP Karad West	24107122	Patan S.O (Satara)	Dixi B.O	BPO	415206
Karad Division	ASP Karad West	24107163	Patan S.O (Satara)	Keral B.O	BPO	415206
Karad Division	ASP Karad West	24107169	Patan S.O (Satara)	Kokisare B.O	BPO	415206
Karad Division	ASP Karad West	24107179	Patan S.O (Satara)	Kusrund B.O	BPO	415206
Karad Division	ASP Karad West	24107194	Patan S.O (Satara)	Marul B.O	BPO	415206
Karad Division	ASP Karad West	24107196	Patan S.O (Satara)	Mendhoshi B.O	BPO	415206
Karad Division	ASP Karad West	24107198	Patan S.O (Satara)	Mhavshi B.O	BPO	415206
Karad Division	ASP Karad West	24107202	Patan S.O (Satara)	Morgiri B.O	BPO	415206
Karad Division	ASP Karad West	24107214	Patan S.O (Satara)	Natoshi B.O	BPO	415206
Karad Division	ASP Karad West	24661455	Patan S.O (Satara)	Patan S.O Satara	SPO	415206
Karad Division	ASP Karad West	24107237	Patan S.O (Satara)	Pimpaloshi B.O	BPO	415206
Karad Division	ASP Karad West	24107250	Patan S.O (Satara)	Sadawaghapur B.O	BPO	415206
Karad Division	ASP Karad West	24107278	Patan S.O (Satara)	Tamkane B.O	BPO	415206
Karad Division	ASP Karad West	24107304	Patan S.O (Satara)	Vatole B.O	BPO	415206
Karad Division	ASP Karad West	24107319	Patan S.O (Satara)	Yerad B.O	BPO	415206
Karad Division	ASP Karad West	24107322	Patan S.O (Satara)	Yerphale B.O	BPO	415206
Karad Division	SDIP Vaduj	24107132	Pusesavali S.O	Goregaon Vangi B.O	BPO	415512
Karad Division	SDIP Vaduj	24107152	Pusesavali S.O	Kalambi B.O	BPO	415512
Karad Division	SDIP Vaduj	24107181	Pusesavali S.O	Ladegaon B.O	BPO	415512
Karad Division	SDIP Vaduj	24107228	Pusesavali S.O	Palashi B.O	BPO	415512
Karad Division	SDIP Vaduj	24661456	Pusesavali S.O	Pusesavali S.O	SPO	415512
Karad Division	SDIP Vaduj	24107244	Pusesavali S.O	Rajachekurle B.O	BPO	415512
Karad Division	SDIP Vaduj	24107292	Pusesavali S.O	Vadgaon J.S B.O	BPO	415512
Karad Division	SDIP Vaduj	24107314	Pusesavali S.O	Yeliv B.O	BPO	415512
Karad Division	SDIP Karad East	24107166	Shivnagar S.O	Khubi B.O	BPO	415108
Karad Division	SDIP Karad East	24107247	Shivnagar S.O	Rethare BK B.O	BPO	415108
Karad Division	SDIP Karad East	24107248	Shivnagar S.O	Rethare KH B.O	BPO	415108
Karad Division	SDIP Karad East	24107265	Shivnagar S.O	Shenoli B.O	BPO	415108
Karad Division	SDIP Karad East	24107266	Shivnagar S.O	Shere B.O	BPO	415108
Karad Division	SDIP Karad East	24661457	Shivnagar S.O	Shivnagar S.O	SPO	415108
Karad Division	SDIP Karad East	24107084	Supane S.O	Arewadi B.O	BPO	415114
Karad Division	SDIP Karad East	24107095	Supane S.O	Beldare B.O	BPO	415114
Karad Division	SDIP Karad East	24107124	Supane S.O	Gamewadi B.O	BPO	415114
Karad Division	SDIP Karad East	24107199	Supane S.O	Mhopre B.O	BPO	415114
Karad Division	SDIP Karad East	24107254	Supane S.O	Sakurdi B.O	BPO	415114
Karad Division	SDIP Karad East	24661458	Supane S.O	Supane S.O	SPO	415114
Karad Division	SDIP Karad East	24107277	Supane S.O	Tambave B.O	BPO	415114
Karad Division	SDIP Karad East	24107302	Supane S.O	Vasantgad B.O	BPO	415114
Karad Division	SDIP Karad East	24107306	Supane S.O	Vihe B.O	BPO	415114
Karad Division	SDIP Karad East	24107307	Supane S.O	Vihe Vasahat B.O	BPO	415114
Karad Division	ASP Karad West	24107077	Tarale S.O	Ambale B.O	BPO	415014
Karad Division	ASP Karad West	24107087	Tarale S.O	Avarde B.O	BPO	415014
Karad Division	ASP Karad West	24107088	Tarale S.O	Bambawade B.O	BPO	415014
Karad Division	ASP Karad West	24107117	Tarale S.O	Dhoroshi B.O	BPO	415014
Karad Division	ASP Karad West	24107129	Tarale S.O	Ghot B.O	BPO	415014
Karad Division	ASP Karad West	24107145	Tarale S.O	Jalav B.O	BPO	415014
Karad Division	ASP Karad West	24107149	Tarale S.O	Kadavebudruk B.O	BPO	415014
Karad Division	ASP Karad West	24107151	Tarale S.O	Kalambe B.O	BPO	415014
Karad Division	ASP Karad West	24107186	Tarale S.O	Maloshi B.O	BPO	415014
Karad Division	ASP Karad West	24107204	Tarale S.O	Murud B.O	BPO	415014
Karad Division	ASP Karad West	24107220	Tarale S.O	Nune B.O	BPO	415014
Karad Division	ASP Karad West	24107226	Tarale S.O	Pal B.O	BPO	415014
Karad Division	ASP Karad West	24107243	Tarale S.O	Rahude B.O	BPO	415014
Karad Division	ASP Karad West	24107260	Tarale S.O	Savarghar B.O	BPO	415014
Karad Division	ASP Karad West	24661459	Tarale S.O	Tarale S.O	SPO	415014
Karad Division	ASP Karad West	24107284	Tarale S.O	Tondoshi B.O	BPO	415014
Karad Division	ASP Karad West	24107297	Tarale S.O	Vajroshi B.O	BPO	415014
Karad Division	ASP Karad West	24661460	Tilak Path Karad S.O	Tilak Path Karad S.O	SPO	415110
Karad Division	ASP Karad West	24107093	Umbraj S.O	Belawade Haveli B.O	BPO	415109
Karad Division	ASP Karad West	24107103	Umbraj S.O	Charegaon B.O	BPO	415109
Karad Division	ASP Karad West	24107110	Umbraj S.O	Chore B.O	BPO	415109
Karad Division	ASP Karad West	24107141	Umbraj S.O	Indoli B.O	BPO	415109
Karad Division	ASP Karad West	24107155	Umbraj S.O	Kalgaon Umbraj B.O	BPO	415109
Karad Division	ASP Karad West	24107173	Umbraj S.O	Korivale B.O	BPO	415109
Karad Division	ASP Karad West	24107175	Umbraj S.O	Korti B.O	BPO	415109
Karad Division	ASP Karad West	24107192	Umbraj S.O	Marali Chore B.O	BPO	415109
Karad Division	ASP Karad West	24107236	Umbraj S.O	Perale B.O	BPO	415109
Karad Division	ASP Karad West	24107269	Umbraj S.O	Shirgaon Umbraj  B.O	BPO	415109
Karad Division	ASP Karad West	24107275	Umbraj S.O	Talbid B.O	BPO	415109
Karad Division	ASP Karad West	24107280	Umbraj S.O	Tasavade B.O	BPO	415109
Karad Division	ASP Karad West	24661461	Umbraj S.O	Umbraj S.O	SPO	415109
Karad Division	ASP Karad West	24107290	Umbraj S.O	Vadgaon B.O	BPO	415109
Karad Division	SDIP Vaduj	24107079	Vaduj S.O	Ambawade B.O	BPO	415506
Karad Division	SDIP Vaduj	24107136	Vaduj S.O	Gursale B.O	BPO	415506
Karad Division	SDIP Vaduj	24107187	Vaduj S.O	Mandave B.O	BPO	415506
Karad Division	SDIP Vaduj	24107224	Vaduj S.O	Pedegaon B.O	BPO	415506
Karad Division	SDIP Vaduj	24107240	Vaduj S.O	Pingali BK B.O	BPO	415506
Karad Division	SDIP Vaduj	24107270	Vaduj S.O	Shirsawadi B.O	BPO	415506
Karad Division	SDIP Vaduj	24107274	Vaduj S.O	Tadavale  Vaduj B.O	BPO	415506
Karad Division	SDIP Vaduj	24661462	Vaduj S.O	Vaduj S.O	SPO	415506
Karad Division	SDIP Vaduj	24107312	Vaduj S.O	Wakeshwar B.O	BPO	415506
Karad Division	SDIP Vaduj	24661463	Vaduj Town S.O	Vaduj Town S.O	SPO	415506
Karad Division	SDIP Karad East	24107089	Vidyanagar Karad S.O	Bannawadi Colony B.O	BPO	415124
Karad Division	SDIP Karad East	24107158	Vidyanagar Karad S.O	Karve B.O	BPO	415124
Karad Division	SDIP Karad East	24107165	Vidyanagar Karad S.O	Khodshi B.O	BPO	415124
Karad Division	SDIP Karad East	24107168	Vidyanagar Karad S.O	Kodoli Karad B.O	BPO	415124
Karad Division	SDIP Karad East	24107233	Vidyanagar Karad S.O	Parle B.O	BPO	415124
Karad Division	SDIP Karad East	24107251	Vidyanagar Karad S.O	Saidapur B.O	BPO	415124
Karad Division	SDIP Karad East	24107291	Vidyanagar Karad S.O	Vadgaon Haveli B.O	BPO	415124
Karad Division	SDIP Karad East	24107296	Vidyanagar Karad S.O	Vahagaon B.O	BPO	415124
Karad Division	SDIP Karad East	24661464	Vidyanagar Karad S.O	Vidyanagar Karad S.O	SPO	415124
Karad Division	SDIP Karad East	24107102	Wing S.O	Chachegaon B.O	BPO	415122
Karad Division	SDIP Karad East	24107126	Wing S.O	Gharewadi B.O	BPO	415122
Karad Division	SDIP Karad East	24107241	Wing S.O	Potale B.O	BPO	415122
Karad Division	SDIP Karad East	24661465	Wing S.O	Wing S.O	SPO	415122
Karad Division	SDIP Karad East	24107321	Wing S.O	Yeravale B.O	BPO	415122
Karad Division	SDIP Karad East	24107172	Yashwant Nagar S.O	Koparde Haveli B.O	BPO	415115
Karad Division	SDIP Karad East	24107263	Yashwant Nagar S.O	Shahpur B.O	BPO	415115
Karad Division	SDIP Karad East	24107268	Yashwant Nagar S.O	Shirawade B.O	BPO	415115
Karad Division	SDIP Karad East	24107295	Yashwant Nagar S.O	Vadoli Nileshwar B.O	BPO	415115
Karad Division	SDIP Karad East	24661466	Yashwant Nagar S.O	Yashwant Nagar S.O	SPO	415115
